Global_Sesne,Target,POS,Arabic_lemmas,Arabic_Definition_IDs,Bulgarian_lemmas,Bulrgarian_Definition_IDs,Greek_lemmas,Greek_Definition_IDs,French_lemmas,French_Definition_IDs,Italian_lemmas,Italian_Definition_IDs,
,,ADJ,"[منتن, نتن, منبوذ , نذل, شرموط, وغد, مزدري]","[391, 407, 390, 409, 193, 433, 363]",[],[],"[απόβλητος, αχρείος, ουτιδανός]","[1236, 1285, 1832]",[],[],[],[],
,Behavior/ Abstract Idea,VERB,[خرب] ,[143],[],[],[],[],[],[],[],[],
Insults for bad,Person,NOUN,"[خبيث, خسيس, خبث, مؤذ, شرير, ابتذال]","[138, 147, 137, 313, 196, 34]","[калпазанин, кучи син, мерзавец, подлец, злодей, негодник, негодник]","[643, 691, 734, 870, 607, 792, 793]","[καθίκι, δαίμονας]","[1531, 1357]","[méchant, mal, méchante]","[2386, 2366, 2388]",[squillo],[2754],
,Behavior/ Abstract Idea,ADJ,"[مسيئ, وغد, منبوذ, نتن, سَيّئ, عدواني]","[367, 433, 390, 407, 190, 220]","[лош, мерзък, подъл, коварен, зъл]","[711, 735, 873, 657, 614]","[φαύλος, αχρείος, άθλιος, πονηρός, κακός, ανήθικος, κακόβουλος]","[2086, 1285, 1080, 1904, 1559, 1186, 1555]",[méchant],[2387],"[cattivo, brutto]","[2572, 2552]",
,,VERB,[خرب] ,[143],[],[],[],[],[],[],[],[],
Insult about fascism,Person,NOUN,"[فاشي,فاشستي]","[258,256]",[фашист],[1017],[φασίστας],[2081],"[fasciste, facho]","[2301, 2296]","[fascisti, fascista]","[2622, 2620]",
,Behavior/ Abstract Idea,NOUN,"[فاشية,فاشستية]","[259,257]",[фашизъм],[1016],[φασισμός],[2082],[fascisme],[2299],[fascismo],[2619],
,,ADJ,[],[],[фашистки],[1018],[φασιστικός],[2083],[fasciste],[2300],[fascista],[2621],
Insult about coward,Person,ADJ,[جبان],[110],[страхлив],[973],"[δειλός, άνανδρος, φοβητσιάρης, δειλός]","[1363, 1083, 2101, 1362]",[lâche],[2360],[vile],[2778],
,Behavior/ Abstract Idea,NOUN,"[جبن, رعديد, أرنب]","[111, 164, 6]","[малодушие, слабак, страхливец, страхливост]","[723, 952, 974, 976]","[δειλία, ανανδρία, κιοτής]","[1361, 1198, 1601]","[lâcheté, lâche, faiblesse]","[2362, 2361, 2298]",[vile],[2779],
Insult targeting a despicable,Person,NOUN,"[خسيس, خبيث, فضلة, حَشَرة, صرصور]","[147, 138, 265, 131, 199]","[мерзавец, копеле, подлец]","[734, 667, 870]","[απόβρασμα, παλιάνθρωπος, καθίκι, λέρα, μουρντάρης, καριόλης, κάθαρμα]","[1238, 1841, 1531, 1671, 1778, 1567, 1522]",[chien],[2244],[cane],[2559],
,Behavior/ Abstract Idea,ADJ,"[شرموط, منبوذ, نذل, نتن, منتن, وغد]","[193, 390, 409, 407, 391, 433]",[кучи син],[691],"[αχρείος, φαύλος]","[1285, 2086]",[],[],[],[],
,,VERB,[خرب] ,[143],[],[],[],[],[],[],[],[],
Insult for mess,Behavior/ Abstract Idea,NOUN,"[فوضى, هرج, تخبط]","[271, 422, 81]","[безпорядък, безредие, бъркотия, миш-маш, хаос]","[479, 481, 506, 744, 1030]","[ακαταστασία, μπουρδέλο, χάος, αναστάτωση, πανδαιμόνιο, ταραχή]","[1167, 1785, 2124, 1202, 2123, 1850, 2013]","[chaos, bordel, chaos]","[2239, 2218, 2238]","[casino, casino, caos]","[2566, 2564, 2561]",
Insult for ruin/wreck,Person,NOUN,"[وسخ, فضلة]","[431, 265]","[мерзавец, мръсник]","[734, 752]","[μουρντάρης, απόβρασμα, λέρα]","[1778, 1238, 1671]",[porc],[2408],"[suini, maiale, porco]","[2765, 2683, 2727]",
,Behavior/ Abstract Idea,ADJ,"[وغد, نتن, منتن, شرموط]","[433, 407, 391, 193]",[],[],[αχρείος],[1285],[],[],[],[],
,,VERB,[خرب] ,[143],[],[],[],[],[],[],[],[],
Insult for black people,Person,ADJ,[أسود],[7],"[черен, чернокож]","[1048, 1050]",[μαύρος],[1739],[noir],[2397],[nero],[2699],
,,NOUN,[زنجي],[171],[негър],[796],"[νέγρος, αράπης, νέγρος]","[1795, 1241, 1796]",[black],[2216],[nero],[2698],
Insut for sex-act profanity,Behavior/ Abstract Idea,VERB,"[ضاجع, نكح, واقع, ناك]","[203, 416, 428, 403]","[чукам, шибам","[1057, 1063","[γαμώ, πηδώ, συνουσιάζομαι]","[1343, 1890, 1998]","[sauter, baiser, coucher]","[2439, 2213, 2265]",[scopare],[2748],
,,NOUN,[],[],[масонство],[530],[γαμήσι],[1339],[baise],[2212],[],[],
Insult targeting a thief or steal,Person,NOUN,"[حرامي, سراق, سارق, لص, نصاب]","[123, 181, 176, 305, 412]","[грабител, обирник, мошеник, крадец]","[546, 827, 749, 676]","[άρπαγας, λωποδύτης, κλέφτης]","[1089, 1701, 1604]","[voleur, voleur]","[2513, 2510]",[ladro],[2678],
,Behavior/ Abstract Idea,VERB,[إختلس],[25],[],[],[],[],[],[],[],[],
Insult for stingy/ stinginess,Person,ADJ,[بخيل],[58],[скръндза],[947],"[τσιγκούνης, φιλάργυρος, σπαγγοραμμένος]","[2042, 2089, 2090, 1980]",[],[],[],[],
,Behavior/ Abstract Idea,NOUN,[بخل],[57],"[скъперничество, скъперник]","[951, 950]","[τσιγκουνιά, φιλαργυρία]","[2041, 2093]",[rat],[2429],[povero],[2731],
Vulgar body-part insult,Object,NOUN,[مؤخرة],[312],"[дупе, задница]","[580, 603]","[κώλος, κωλομέρι, πισινός]","[1661, 1654, 1892]","[derrière, lune, cul, fesses]","[2278, 2359, 2276, 2306]",[culo],[2604],
Insult for immorality,Person,ADJ,[],[],[неморално],[801],[ανήθικος],[1187],[],[],[brutto],[2552],
,Behavior/ Abstract Idea,NOUN,"[فسوق, فسق, نتانة, ابتذال]","[264, 263, 406, 34]",[неморалност],[802],[ανηθικότητα],[1203],[mal],[2366],[],[],
Insult for a brutish person,Pesron,NOUN,"[حيوان, تيس, أنعام, وعل, بهيمة]","[130, 102, 18, 432, 75]","[говедо, добитък]","[544, 569]",[ζώο],[1494],[animal],[2202],"[bestia, animale]","[2546, 2525]",
Insult for lack of education,Person,ADJ,[جاهل],[109],"[неграмотен, необразован, неук]","[794, 806, 812]",[αγράμματος],[1126],[],[],[ignorante],[2651],
,Behavior/ Abstract Idea,NOUN,"[أمي, جهالة, عامي]","[16, 118, 208]",[],[],[],[],[ignorance],[2345],[],[],
Insult for stupidity,Event,NOUN,"[عبث, جنون]","[211, 117]","[нонсенс, безсмислие, безсмислица]","[823, 483, 484]","[βλακεία, ανοησία, κουταμάρα]","[1320, 1210, 1635]",[folie],[2310],[follia],[2633],
Homophobic slur,Person,NOUN,"[مثلي, لواطي, مثلية]","[349, 310, 350]","[педал, гей]","[852, 538]",[γκέι],[1349],[gay],[2328],[],[],
,,ADJ,[لوطي],[311],[],[],[],[],[],[],[gay],[2638],
Insult for jealous,Person,ADJ,[],[],"[завистлив, ревнив]","[599, 924]",[ζηλιάρης],[1483],[],[],[],[],
,Behavior/ Abstract Idea,NOUN,[حسد],[124],[завист],[598],"[ζηλοφθονία, φθόνος]","[1485, 2088]",[],[],[gelosia],[2639],
,,VERB,[],[],[],[],[],[],[envier],[2294],[],[],
Insult referring to homosexuality,State,NOUN,"[مثلي, مثلية]","[349, 350]",[хомосексуалист],[1024],[ομοφυλόφιλος],"[1824, 1825]",[gay],[2328],[diverso],[2610],
Insult for uncultred person,Person,NOUN,"[عامي, جهالة, بليد]","[208, 118, 73]",[невежа],[789],[],[],[bête],[2233],"[capra, bestia]","[2562, 2546]",
,,ADJ,[],[],[],[],[αναλφάβητος],[1197],[],[],[],[],
Insult calling someone a pig as dirty person,Person,NOUN,"[خنزير, قماءة]","[150, 287]",[свиня],[937],[γουρούνι],[1354],[porc],[2408],"[porco, suini, maiale]","[2727, 2765, 2683]",
Insult for foolishness,State,NOUN,"[حماقة, عته]","[128, 215]",[безумие],[485],"[αφροσύνη, μωρία]","[1284, 1790]",[folie],[2310,[follia],[2633],
Insult for a hypocrite,Pesron,NOUN,[تمساح],[99],[мазник],[722],[κόλακας],[1659],[],[],[ipocrita],[2676],
,Behavior/ Abstract Idea,ADJ,[انتهازي],[54],[],[],[],[],[faux],[2304],[],[],
Insult for a criminal group membership,Person,NOUN,[عصابة],[222],"[банда, банда]","[461, 462]",[συμμορία],[1994],[gang],[2326],[gang],[1637],
Insult for a lustful person,Person,ADJ,[شهواني],[198],[похотлив],[881],"[λάγνος, υπερσεξουαλικός]","[1665, 2056]",[chaud],[2243],[],[],
,Behavior/ Abstract Idea,NOUN,[],[],[],[],[],[],[],[],[calore],[1558],
Insult for a rapist,Person,NOUN,"[اغتصاب, اغتصاب]","[47, 48]",[изнасилвач],[631],[βιαστής],[1315],[viol],[2496],[stupro],[1763],
,Event,VERB,[خرب] ,[143],[],[],[],[],[],[],[],[],
Insult calling someone a dog  as trash person,Person,NOUN,[],[],[пес],[860],[σκύβαλο],[1971],[chien],[2244],[cane],[1559],
,,ADJ,[وغد],[433],[],[],[],[],[],[],[],[],
Insult meaning “ruthless / cruel”,Behavior/ Abstract Idea,NOUN,[فظاظة],[267],[],[],[],[],[méchante],[2388],[],[],
,,ADJ,[],[],[жесток],[592],[αδυσώπητος],[1148],[],[],[crudele],[2602],
,,,,,,,,,,,,,
