ID,Language,Lemma,Lemma_en,POS,Definition,Definition_en,Example,Example_en,HurtLex_category,HurtLex_category_full,Definition_ID
AR22,Arabic,إساءة,abuse,noun,فعل أو قول يسبب الأذى أو الإهانة,An act or statement that causes harm or offense.,تعرض الطفل للإساءة من قبل زوج أمه.,The child was abused by his mother's husband.,re,felonies_and_words_related_to_crime_and_immoral_behavior,28
AR1115,Arabic,إشمئزاز,disgust,noun,شعور بالقرف الشديد والنفور,A strong feeling of disgust and aversion.,تصرفاته تثير الاشمئزاز في نفسي.,His behavior disgusts me.,svp,words_related_to_the_seven_deadly_sins_of_the_Christian_tradition,29
AR1665,Arabic,إعاقة,impediment,noun,وصف مهين لشخص يعتبر عائقاً أو معطلاً للآخرين,An insulting description of a person considered an obstacle or hindrance to others.,أنت إعاقة حقيقية في طريق تقدمنا.,You are a real obstacle in our path to progress.,ddf,physical_disabilities_and_diversity,30
AR1669,Arabic,إعاقة,impediment,noun,وصف مهين لشخص يعتبر عائقاً أو معطلاً للآخرين,An insulting description of a person considered an obstacle or hindrance to others.,أنت إعاقة حقيقية في طريق تقدمنا.,You are a real obstacle in our path to progress.,ddf,physical_disabilities_and_diversity,31
AR1692,Arabic,إفقار,impoverishment,noun,التسبب في جعل شخص أو مجتمع فقيراً بشكل متعمد,Causing a person or community to become poor deliberately.,سياساتهم أدت إلى إفقار الشعب.,Their policies have led to the impoverishment of the people.,is,words_related_to_social_and_economic_disadvantage,32
AR2335,Arabic,إنتهى,expired,verb,تعبير يعني أن شخصاً ما فقد قيمته أو تأثيره,The expression means that someone has lost their value or influence.,"كممثل، لقد انتهى منذ سنوات.","As an actor, it ended years ago.",cds,derogatory_words,33
AR786,Arabic,ابتذال,vulgarity,noun,انحطاط في الذوق أو الأسلوب أو الأخلاق,"Decline in taste, style, or morals.",أسلوبه في الكلام مليء بالابتذال.,His way of speaking is full of vulgarity.,an,animals,34
AR469,Arabic,ابتزاز,extortion,noun,الحصول على مال أو منافع بالتهديد بفضح سر ما,Obtaining money or benefits by threatening to reveal a secret.,مارس الابتزاز ضدها بصورها الشخصية.,He practiced blackmail against her with her personal photos.,re,felonies_and_words_related_to_crime_and_immoral_behavior,35
AR462,Arabic,ابن زنا,bastard,noun,شتيمة قاسية جداً تشكك في شرعية نسب الشخص,A very harsh insult that questions the legitimacy of a person's lineage.,شتمه قائلاً: يا ابن الزنا.,"He insulted him, saying: ""You son of a bitch.""",ddp,cognitive_disabilities_and_diversity,36
AR433,Arabic,احتيال,fraud,noun,خداع الناس للحصول على أموالهم بطرق ماكرة,Deceiving people to obtain their money through cunning methods.,لقد وقع ضحية عملية احتيال كبيرة.,He has fallen victim to a major fraud.,cds,derogatory_words,37
AR2496,Arabic,اختطف,kidnap,noun,أخذ شخصاً أو شيئاً بالقوة والخداع,Taking a person or thing by force and deception.,اختطف المجرمون الطفل وطالبوا بفدية.,The criminals kidnapped the child and demanded a ransom.,re,felonies_and_words_related_to_crime_and_immoral_behavior,38
AR2672,Arabic,ارهاب,terrorism,noun,ترويع الآمنين وإخافتهم لتحقيق أهداف سياسية,Terrorizing and frightening civilians to achieve political goals,الإرهاب جريمة ضد الإنسانية.,Terrorism is a crime against humanity.,re,felonies_and_words_related_to_crime_and_immoral_behavior,39
AR611,Arabic,استعلاء,arrogance,noun,التعامل مع الآخرين بفوقية وغرور,Dealing with others with arrogance and pride.,يتحدث مع الجميع باستعلاء مقيت.,He speaks to everyone with a hateful arrogance.,svp,words_related_to_the_seven_deadly_sins_of_the_Christian_tradition,40
AR2102,Arabic,استغباء,patronizing,noun,معاملة شخص وكأنه غبي أو ساذج,Treating a person as if they are stupid or naive.,"توقف عن استغباء الناس، فنحن نفهم خطتك.",Stop underestimating people's intelligence; we understand your plan.,asm,male_genitalia,41
AR2320,Arabic,استغلالي,exploiter,noun,شخص يستفيد من الآخرين بطريقة غير عادلة,A person who takes advantage of others unfairly.,إنه مدير استغلالي يسرق مجهود موظفيه.,He is an exploitative manager who steals the efforts of his employees.,qas,with_potential_negative_connotations,42
AR2359,Arabic,استهزأ,mock,verb,السخرية من شخص أو شيء وتحقيره,Mocking and belittling a person or something.,استهزأ بملابسه القديمة أمام الجميع.,He mocked his old clothes in front of everyone.,asm,male_genitalia,43
AR1601,Arabic,اسرائيلي,israeli,noun,وصف يستخدم أحياناً كشتيمة في سياقات سياسية معادية,A description sometimes used as an insult in hostile political contexts.,"اتهمه خصمه بأنه عميل ""إسرائيلي"" لخيانته.","His opponent accused him of being an ""Israeli"" agent for his betrayal.",ps,negative_stereotypes_ethnic_slurs,44
AR1116,Arabic,اشمئزاز,disgust,noun,شعور بالقرف الشديد والنفور,A strong feeling of disgust and aversion.,تصرفاته تثير الاشمئزاز في نفسي.,His behavior disgusts me.,svp,words_related_to_the_seven_deadly_sins_of_the_Christian_tradition,45
AR1028,Arabic,اعدام,execution,noun,حكم أو فعل يهدف إلى إنهاء مستقبل شخص أو فكرة,A ruling or action aimed at ending the future of a person or an idea.,لقد كان قرارهم بمثابة إعدام لمسيرته المهنية.,Their decision was like a death sentence for his career.,qas,with_potential_negative_connotations,46
AR177,Arabic,اغتصاب,rape,noun,إجبار شخص على ممارسة الجنس بالقوة,Forcing someone to have sex by force,الاغتصاب جريمة بشعة لا تغتفر.,Rape is a heinous crime that is unforgivable.,re,felonies_and_words_related_to_crime_and_immoral_behavior,47
AR179,Arabic,اغتصاب,rape,noun,إجبار شخص على ممارسة الجنس بالقوة,Forcing someone to have sex by force,الاغتصاب جريمة بشعة لا تغتفر.,Rape is a heinous crime that is unforgivable.,re,felonies_and_words_related_to_crime_and_immoral_behavior,48
AR701,Arabic,افتراء,slander,noun,اتهام شخص كذبًا بما ليس فيه,Falsely accusing someone of something they did not do.,كل ما قلته عني هو افتراء.,Everything you said about me is slander.,re,felonies_and_words_related_to_crime_and_immoral_behavior,49
AR2420,Arabic,القرصنة,piracy,noun,سرقة جهود الآخرين ونسبتها للذات,Stealing the efforts of others and attributing them to oneself.,هذا البحث مجرد قرصنة من أعمال غيرك.,This research is merely plagiarism of others' work.,re,felonies_and_words_related_to_crime_and_immoral_behavior,50
AR1559,Arabic,المثلية,homosexuality,noun,وصف ازدرائي للشذوذ الجنسي,A derogatory description of homosexuality.,إنهم يروجون للمثلية في مجتمعنا.,They are promoting homosexuality in our society.,om,words_related_to_homosexuality,51
AR1899,Arabic,المذنب,offender,noun,من ارتكب خطأ أو جرماً ويستحق اللوم,Who committed a mistake or a crime and deserves blame.,أنت المذنب في كل ما حدث.,You are the one to blame for everything that happened.,cds,derogatory_words,52
AR2421,Arabic,انتحال,impersonation,noun,ادعاء صفة أو شخصية ليست لك,Claiming a title or personality that is not yours.,تم القبض عليه بتهمة انتحال صفة ضابط.,He was arrested on charges of impersonating an officer.,re,felonies_and_words_related_to_crime_and_immoral_behavior,53
AR2245,Arabic,انتهازي,opportunist,adj,من يستغل الظروف أو الأشخاص لمصلحته الشخصية,Who exploits circumstances or people for personal gain.,إنه شخص انتهازي لا يهمه إلا نفسه.,He is an opportunist who cares only about himself.,cds,derogatory_words,54
AR358,Arabic,باطل,false,noun,وصف للشيء أو القول بأنه لا أساس له من الصحة,A description of something or a statement as having no basis in truth.,كل ادعاءاتك باطلة.,All your claims are invalid.,cds,derogatory_words,55
AR1973,Arabic,ببغاء,parrot,noun,شخص يكرر الكلام دون فهم أو وعي,A person who repeats words without understanding or awareness.,لا تكن ببغاء تردد ما تسمعه.,Do not be a parrot that repeats what it hears.,an,animals,56
AR239,Arabic,بخل,stinginess,noun,صفة من يمتنع عن الإنفاق الشديد,The characteristic of someone who refrains from excessive spending.,قتله بخله وحرصه على المال.,His stinginess and greed for money killed him.,svp,words_related_to_the_seven_deadly_sins_of_the_Christian_tradition,57
AR236,Arabic,بخيل,miser,adj,شخص شديد الإمساك في الإنفاق,A person who is very stingy in spending.,إنه رجل بخيل لا ينفق على أهل بيته.,He is a stingy man who does not spend on his family.,is,words_related_to_social_and_economic_disadvantage,58
AR377,Arabic,بدو,boor,noun,وصف للشخص بالخشونة وقلة التحضر,A description of a person as rough and uncultured.,تصرفاته تدل على أنه بدو.,His behavior indicates that he is a Bedouin.,ps,negative_stereotypes_ethnic_slurs,59
AR276,Arabic,بربرية,barbarism,noun,صفة للسلوك الوحشي والهمجي,A trait of savage and barbaric behavior.,هذه الأفعال تتسم بالبربرية.,These actions are characterized by barbarism.,ddp,cognitive_disabilities_and_diversity,60
AR559,Arabic,برجوازي,bourgeois,noun,وصف ازدرائي لمن يهتم بالمظاهر المادية والمصالح الشخصية,A derogatory description of someone who cares about material appearances and personal interests.,"لا يفكر إلا في ماله، عقليته برجوازية.",He only thinks about his money; his mentality is bourgeois.,qas,with_potential_negative_connotations,61
AR1360,Arabic,برغوث,flea,noun,وصف للشخص الحقير أو المزعج الذي لا قيمة له,A description of a despicable or annoying person who is worthless.,اغرب عن وجهي أيها البرغوث.,"Get off my face, you flea.",an,animals,62
AR2130,Arabic,بزاق,spittle,noun,وصف للشخص الضعيف والمنفر,A description of a weak and repulsive person.,إنه جبان مثل البزاق.,He is as cowardly as a spittle.,an,animals,63
AR2258,Arabic,بشاعة,ugliness,noun,صفة للقبح الشديد في الشكل أو الفعل,A term for extreme ugliness in appearance or action,بشاعة الجريمة هزت الجميع.,The atrocity of the crime shook everyone.,ddf,physical_disabilities_and_diversity,64
AR2634,Arabic,بشع,ugly,adj,وصف لشيء أو شخص قبيح جداً,A description of something or someone very ugly.,منظره بشع لا يطاق.,His appearance is unbearably ugly.,ddf,physical_disabilities_and_diversity,65
AR2344,Arabic,بطاطا,slacker,noun,"شخص كسول، عديم الحركة أو الفائدة","A lazy person, inactive or useless.",انهض أيها البطاطا وقم بعمل شيء مفيد.,"Get up, potato, and do something useful.",or,plants,66
AR2760,Arabic,بطش,oppression,noun,استخدام القوة والظلم بشكل مفرط,Excessive use of force and injustice,عُرف الحاكم ببطشه بمعارضيه.,The ruler was known for his brutality towards his opponents.,re,felonies_and_words_related_to_crime_and_immoral_behavior,67
AR1969,Arabic,بغبغاء,parrot,noun,"مرادف ""ببغاء""؛ من يكرر الكلام بلا فهم","Synonym of ""parrot""; someone who repeats words without understanding.",هو مجرد بغبغاء في الحزب.,He is just a parrot in the party.,an,animals,68
AR1967,Arabic,بغبغان,parrot,noun,"مرادف ""ببغاء""؛ من يكرر الكلام بلا فهم","Synonym of ""parrot""; someone who repeats words without understanding.",توقف عن ترديد كلامه كالبغبغان.,Stop parroting his words.,an,animals,69
AR1885,Arabic,بغل,blockhead,noun,وصف للشخص شديد الغباء والعناد,A description of a person who is extremely stupid and stubborn.,"لن يفهم، إنه بغل عنيد.",He won't understand; he's a stubborn mule.,an,animals,70
AR1263,Arabic,بغي,whore,noun,امرأة تمتهن الدعارة (إهانة شديدة),A woman who practices prostitution (severe insult),وصفها بأنها بغي لتشويه سمعتها.,She described her as a prostitute to tarnish her reputation.,asf,female_genitalia,71
AR2110,Arabic,بلادة,dullness,noun,صفة لبطء الفهم وقلة الذكاء,A trait of slow understanding and low intelligence.,لم أر في حياتي بلادة مثل هذه.,I have never seen such stupidity in my life.,ddp,cognitive_disabilities_and_diversity,72
AR2104,Arabic,بليد,dullard,noun,شخص قليل الفهم وبطيء الاستيعاب,A person with little understanding and slow comprehension.,"شرحت له عشر مرات، لكنه تلميذ بليد.","I explained to him ten times, but he is a dull student.",asm,male_genitalia,73
AR356,Arabic,بهتان,slander,noun,كذب صريح ومفضوح يهدف للإساءة,An outright and blatant lie aimed at causing harm.,اتهاماته لي كانت زوراً وبهتاناً.,His accusations against me were false and slanderous.,dmc,moral_and_behavioral_defects,74
AR154,Arabic,بهيمة,brute,noun,وصف للشخص الذي يتصرف بلا عقل كالأنعام,A description of a person who acts without reason like cattle.,"إنه يتصرف كالبهيمة، لا يفكر إلا في غرائزه.","He behaves like an animal, thinking only about his instincts.",an,animals,75
AR1791,Arabic,تآمر,conspire,verb,التخطيط سراً لإيذاء شخص أو جهة ما,Secretly planning to harm a person or an entity.,اتهموه بالتآمر لقلب نظام الحكم.,They accused him of conspiring to overthrow the regime.,cds,derogatory_words,76
AR87,Arabic,تابع,follower,noun,شخص يتبع غيره بلا رأي أو شخصية مستقلة,A person who follows others without an independent opinion or personality.,لا تكن مجرد تابع للآخرين.,Do not be merely a follower of others.,qas,with_potential_negative_connotations,77
AR1477,Arabic,تافه,trivial,noun,شخص أو شيء قليل القيمة والأهمية,A person or thing of little value and importance.,لا تشغل نفسك بأمور تافهة.,Do not trouble yourself with trivial matters.,dmc,moral_and_behavioral_defects,78
AR1949,Arabic,تتطفل,intrude,noun,تتدخل فيما لا يعنيك,You are interfering in matters that do not concern you.,لماذا تتطفل على شؤوننا الخاصة؟,Why do you meddle in our private affairs?,qas,with_potential_negative_connotations,79
AR2644,Arabic,تحرش,harass,noun,مضايقة شخص بشكل مسيء أو جنسي,Harassing a person in an abusive or sexual manner,التحرش جريمة يعاقب عليها القانون.,Harassment is a crime punishable by law.,re,felonies_and_words_related_to_crime_and_immoral_behavior,80
AR480,Arabic,تخبط,flounder,noun,التصرف بعشوائية ودون تخطيط أو هدف,Acting randomly without planning or purpose.,الشركة تعيش في حالة من التخبط الإداري.,The company is experiencing a state of administrative confusion.,qas,with_potential_negative_connotations,81
AR242,Arabic,تخلف,backwardness,noun,صفة للتأخر الحضاري أو الفكري,A term for cultural or intellectual backwardness.,هذه العادات دليل على التخلف.,These habits are a sign of backwardness.,ddp,cognitive_disabilities_and_diversity,82
AR1798,Arabic,تخلف عقلي,imbecile,noun,شتيمة قاسية للدلالة على الغباء الشديد أو الرجعية,A harsh insult indicating extreme stupidity or backwardness.,هذه الفكرة دليل على تخلف عقلي.,This idea is evidence of mental retardation.,ddp,cognitive_disabilities_and_diversity,83
AR1295,Arabic,تزمت,dogmatism,noun,التمسك الشديد بآراء متطرفة ورفض الآخر,Strong adherence to extremist views and rejection of others.,تزمته الديني جعله يكره الجميع.,His religious zeal made him hate everyone.,cds,derogatory_words,84
AR1355,Arabic,تزوير,forgery,noun,تغيير الحقيقة في المستندات أو الوثائق,Altering the truth in documents or papers,سُجن بتهمة تزوير شهادته الجامعية.,He was imprisoned on charges of forging his university degree.,dmc,moral_and_behavioral_defects,85
AR1353,Arabic,تزييف,forgery,noun,تحريف الحقائق أو تقليد شيء أصلي بشكل مخادع,Distorting facts or deceptively imitating an original thing.,إنه بارع في تزييف مشاعره.,He is skilled at faking his emotions.,dmc,moral_and_behavioral_defects,86
AR1952,Arabic,تطفل,meddling,noun,التدخل في شؤون الآخرين بفضول مزعج,Interfering in others' affairs with annoying curiosity.,كف عن التطفل على حياتي.,Stop intruding on my life.,qas,with_potential_negative_connotations,87
AR607,Arabic,تعالي,arrogance,noun,التصرف بغرور وتكبر على الآخرين,Behaving arrogantly and with pride towards others.,نظر إلينا بتعالٍ وكأننا أقل منه شأناً.,He looked at us with arrogance as if we were beneath him.,cds,derogatory_words,88
AR2683,Arabic,تعذيب,torture,noun,إلحاق ألم جسدي أو نفسي شديد بشخص ما,Inflicting severe physical or psychological pain on someone,مات السجين تحت التعذيب.,The prisoner died under torture.,re,felonies_and_words_related_to_crime_and_immoral_behavior,89
AR19,Arabic,تعسف,abuse,noun,استخدام السلطة بشكل ظالم وجائر,The use of power in an unjust and oppressive manner.,طرد الموظفين كان قراراً فيه تعسف.,The dismissal of the employees was an arbitrary decision.,re,felonies_and_words_related_to_crime_and_immoral_behavior,90
AR121,Arabic,تعصب,bigotry,noun,الانحياز الأعمى لفئة أو فكرة ورفض ما عداها,Blind bias towards a group or idea and rejection of everything else.,التعصب الرياضي يفسد متعة اللعبة.,Sports fanaticism spoils the enjoyment of the game.,cds,derogatory_words,91
AR1673,Arabic,تعطيل,obstruction,noun,إعاقة سير العمل أو التقدم عمداً,Deliberately obstructing workflow or progress,اتُهم بتعطيل مصالح المواطنين.,He was accused of obstructing the interests of the citizens.,ddf,physical_disabilities_and_diversity,92
AR2265,Arabic,تعيس,miserable,noun,شخص يشعر بالحزن والشقاء الشديد,A person feeling deep sadness and misery.,يعيش حياة تعيسة مليئة بالمشاكل.,He lives a miserable life full of problems.,dmc,moral_and_behavioral_defects,93
AR2101,Arabic,تغابي,feign,noun,التظاهر بالغباء لتجنب المسؤولية أو لفهم نية الآخر,Pretending to be stupid to avoid responsibility or to understand the other's intention.,"لا تتغابى، فأنت تعرف الحقيقة جيداً.",Don't play dumb; you know the truth very well.,ddp,cognitive_disabilities_and_diversity,94
AR1680,Arabic,تفاهة,triviality,noun,صفة لقلة القيمة أو السطحية,A trait of insignificance or superficiality.,سئمت من تفاهة البرامج التلفزيونية.,I am fed up with the triviality of television programs.,ddp,cognitive_disabilities_and_diversity,95
AR1639,Arabic,تكبر,arrogance,noun,الغرور والتعالي على الناس,Arrogance and looking down on people,تكبره يجعله مكروهاً من الجميع.,His arrogance makes him disliked by everyone.,cds,derogatory_words,96
AR2317,Arabic,تلعثم,stammering,verb,السخرية من تردد شخص في الكلام كدليل على ضعفه أو كذبه,Mocking someone's hesitation in speech as evidence of their weakness or lying.,بدأ يتلعثم عندما واجهته بالحقيقة.,He began to stammer when I confronted him with the truth.,qas,with_potential_negative_connotations,97
AR597,Arabic,تمادي,transgress,noun,تجاوز الحد في الإساءة أو الخطأ,Exceeding the limit in offense or error,لقد تمادى في وقاحته كثيراً.,He has been excessively insolent.,cds,derogatory_words,98
AR987,Arabic,تمساح,crocodile,noun,"شخص غدار ومنافق، يظهر التعاطف وهو يخفي الشر","A treacherous and hypocritical person, who shows sympathy while hiding evil.",إنه تمساح يبكي على ضحاياه.,He is a crocodile crying over his victims.,an,animals,99
AR2360,Arabic,تهكم,sarcasm,verb,السخرية اللاذعة بأسلوب يوحي بالجدية ظاهرياً,Biting sarcasm delivered in a style that outwardly suggests seriousness.,كان كلامه مليئاً بالتهكم على فقرنا.,His words were full of sarcasm about our poverty.,asm,male_genitalia,100
AR1790,Arabic,تواطأ,collude,verb,الإتفاق سراً على فعل الشر أو الظلم,Secretly agreeing to commit evil or injustice.,تواطأ مع العدو ضد وطنه.,He conspired with the enemy against his country.,cds,derogatory_words,101
AR423,Arabic,تيس,boor,noun,شتيمة للرجل تصفه بالغباء المفرط أو بالدياثة,An insult for a man describing him as extremely stupid or as a cuckold.,إنه تيس لا يغار على أهل بيته.,He is a billy goat who does not care about his family.,an,animals,102
AR428,Arabic,ثرثار,chatterbox,adj,وصف للشخص كثير الكلام بشكل مزعج وبلا فائدة,A description of a person who talks excessively in an annoying and pointless manner.,"لا أطيق الجلوس معه، إنه رجل ثرثار.",I can't stand sitting with him; he is a talkative man.,cds,derogatory_words,103
AR907,Arabic,ثرثرة,chatter,noun,الكلام الكثير الذي لا طائل منه ويسبب الإزعاج,A lot of talk that is pointless and causes annoyance.,توقفي عن هذه الثرثرة الفارغة.,Stop this empty chatter.,ddp,cognitive_disabilities_and_diversity,104
AR615,Arabic,ثور,oaf,noun,إهانة للرجل تصفه بالغباء والقوة الغاشمة دون تفكير,"An insult to the man, describing him as stupid and brute force without thought.",يتصرف كالثور الهائج في كل نقاش.,He acts like a raging bull in every discussion.,an,animals,105
AR2772,Arabic,جاحد,ungrateful,noun,ناكر للجميل والمعروف,Ungrateful and unappreciative.,ساعدته كثيراً ولكنه كان ولداً جاحداً.,"I helped him a lot, but he was an ungrateful boy.",dmc,moral_and_behavioral_defects,106
AR568,Arabic,جاموس,buffoon,noun,شتيمة تصف الشخص بالبلادة والغباء الشديد والكسل,"An insult describing a person as extremely dull, stupid, and lazy.","تحرك أيها الجاموس، لقد عطلتنا.","Move, buffalo, you have delayed us.",an,animals,107
AR418,Arabic,جاني,perpetrator,noun,الشخص المسؤول عن إحداث مصيبة أو ضرر,The person responsible for causing a disaster or harm.,هو الجاني الحقيقي وراء خراب الشركة.,He is the real culprit behind the company's downfall.,dmc,moral_and_behavioral_defects,108
AR1079,Arabic,جاهل,ignorant,adj,شخص لا علم لديه أو يفتقر للأدب وحسن التصرف,A person who is ignorant or lacks manners and good conduct.,"لا تجادله، إنه جاهل وعنيد.",Do not argue with him; he is ignorant and stubborn.,ddp,cognitive_disabilities_and_diversity,109
AR910,Arabic,جبان,coward,adj,شخص يفتقر للشجاعة ويخاف من المواجهة,A person who lacks courage and fears confrontation.,هرب من القتال لأنه رجل جبان.,He fled from the fight because he is a cowardly man.,cds,derogatory_words,110
AR911,Arabic,جبن,cowardice,noun,صفة الخوف الشديد والافتقار إلى الشجاعة,The trait of intense fear and lack of courage.,منعه جبنه من قول الحقيقة.,His cowardice prevented him from telling the truth.,cds,derogatory_words,111
AR2015,Arabic,جرذ,rat,noun,"وصف لشخص خسيس، جبان، وخائن","A description of a despicable, cowardly, and treacherous person.",إنه جرذ يهرب عند أول علامة للخطر.,He is a rat who runs away at the first sign of danger.,pr,words_related_to_prostitution,112
